Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares
06N,31-03-2022,3.93,+46.10%,64900.36,-6.34%,52090.0,"13 921,975"
06N,31-12-2021,2.69,-15.94%,69296.26,-1.49%,49722.0,"13 921,975"
06N,30-09-2021,3.2,+33.33%,70340.86,+6.47%,53578.0,"13 921,975"
06N,30-06-2021,2.4,-17.81%,66067.21,+13.75%,56507.0,"13 921,975"
06N,31-03-2021,2.92,+88.39%,58081.5,+1.85%,21719.0,"13 921,975"
06N,31-12-2020,1.55,+43.52%,57025.84,+15.41%,21636.0,"13 921,975"
06N,30-09-2020,1.08,+182.72%,49411.53,-0.32%,21567.0,"13 921,975"
06N,30-06-2020,0.382,+91.00%,49569.17,+19.09%,21503.0,"13 921,975"
06N,31-12-2019,0.2,0.00%,57832.88,+0.89%,19583.0,"13 921,975"
06N,30-06-2019,0.2,0.00%,60187.43,+0.87%,19064.0,"13 921,975"
06N,30-09-2018,0.2,-33.33%,58974.76,+5.40%,23236.0,"13 921,975"
06N,30-06-2018,0.3,+11.11%,55954.44,-4.15%,23267.0,"13 921,975"
06N,31-03-2018,0.27,-27.03%,58377.42,-8.42%,23206.0,"13 921,975"
06N,31-12-2017,0.37,+32.14%,63746.2,-0.85%,23242.0,"13 921,975"
06N,30-09-2017,0.28,0.00%,64289.69,+5.36%,23018.0,"13 921,975"
06N,30-06-2017,0.28,-48.15%,61018.36,+5.37%,23562.0,"13 921,975"
06N,31-03-2017,0.54,-28.95%,57911.31,+11.90%,24245.0,"13 921,975"
06N,31-12-2016,0.76,-58.70%,51754.03,+9.92%,24691.0,"13 921,975"
06N,30-09-2016,1.84,+0.55%,47084.94,+5.22%,50405.0,"13 921,975"
06N,30-06-2016,1.83,-3.17%,44748.53,-8.71%,50689.0,"13 921,975"
06N,31-03-2016,1.89,+3.85%,49017.35,+5.49%,52055.0,"13 921,975"
06N,31-12-2015,1.82,-1.62%,46467.38,-6.74%,53349.0,"13 921,975"
06N,30-09-2015,1.85,-5.13%,49824.59,-6.57%,54982.0,"13 921,975"
06N,30-06-2015,1.95,-9.30%,53328.98,-1.41%,55246.0,"13 921,975"
06N,31-03-2015,2.15,+1.42%,54091.32,+5.20%,57146.0,"13 921,975"
06N,31-12-2014,2.12,-7.83%,51416.08,-6.31%,69165.0,"13 921,975"
06N,30-09-2014,2.3,+4.55%,54878.58,+5.67%,69930.0,"13 921,975"
06N,30-06-2014,2.2,+4.76%,51934.94,-0.84%,70947.0,"13 921,975"
06N,30-06-2014,2.2,+4.76%,51934.94,-0.84%,70947.0,"13 921,975"
06N,31-03-2014,2.1,+5.00%,52373.47,+2.12%,78173.0,"13 921,975"
06N,31-12-2013,2.0,0.00%,51284.25,+1.95%,70259.0,"13 921,976"
06N,30-09-2013,2.0,0.00%,50301.85,+12.41%,68348.0,"13 921,976"
06N,30-06-2013,2.0,+5.26%,44747.79,-0.89%,59927.0,"13 921,976"
06N,31-03-2013,1.9,-17.39%,45147.57,-4.87%,71816.0,"13 921,976"
06N,31-12-2012,2.3,-17.86%,47460.59,+8.51%,71689.0,"13 921,976"
06N,30-09-2012,2.8,-3.45%,43739.81,+7.18%,76706.0,"11 243,715"
06N,30-06-2012,2.9,-23.68%,40810.88,-1.11%,78992.0,"8 673,715"
06N,31-03-2012,3.8,+18.75%,41267.16,+9.77%,98619.0,"8 673,715"
06N,31-12-2011,3.2,+60.00%,37595.44,-1.76%,99528.0,"8 673,715"
06N,30-09-2011,2.0,-62.96%,38268.75,-20.96%,108150.0,"8 673,715"
06N,30-06-2011,5.4,-20.59%,48414.36,-0.65%,117435.0,"8 673,715"
06N,31-03-2011,6.8,-15.00%,48729.83,+2.61%,118416.0,"8 673,715"
06N,31-12-2010,8.0,-6.98%,47489.91,+4.98%,98985.0,"8 673,715"
06N,30-09-2010,8.6,+8.86%,45236.72,+14.84%,121888.0,"8 673,715"
06N,30-06-2010,7.9,-28.83%,39392.5,-7.19%,124804.0,"8 673,715"
06N,31-03-2010,11.1,0.00%,42446.5,+6.15%,120357.0,"8 673,715"
06N,31-12-2009,11.1,-22.92%,39986.0,+6.40%,121792.0,"8 673,715"
06N,30-09-2009,14.4,+8.27%,37580.3,+23.54%,122138.0,"8 673,715"
06N,30-06-2009,13.3,-4.32%,30419.0,+26.56%,102148.0,"8 673,715"
06N,31-03-2009,13.9,-19.19%,24036.1,-11.72%,102567.0,"8 673,715"
06N,31-12-2008,17.2,-18.10%,27228.6,-27.13%,13736.0,"1 284,048"
06N,30-09-2008,21.0,+0.48%,37367.3,-9.18%,14058.0,"1 284,048"
06N,30-06-2008,20.9,-31.48%,41146.3,-14.30%,4516.0,"1 284,048"
06N,31-03-2008,30.5,-8.41%,48011.3,-13.72%,4610.0,"1 284,048"
06N,31-12-2007,33.3,-59.35%,55648.5,-7.82%,10459.0,"1 284,048"
06N,30-09-2007,81.917,-3.75%,60368.9,-8.64%,91726.0,"1 284,048"
06N,30-06-2007,85.111,+6.34%,66077.7,+14.87%,94920.0,"1 284,048"
06N,31-03-2007,80.033,+0.10%,57524.6,+14.11%,78042.0,"1 284,048"
06N,31-12-2006,79.95100000000001,+12.19%,50411.8,+14.44%,86493.0,"3 005,612"
06N,30-09-2006,71.267,+15.69%,44052.5,+8.38%,79372.0,"3 005,612"
06N,30-06-2006,61.601000000000006,+10.26%,40644.6,+1.05%,225189.0,"3 005,612"
06N,31-03-2006,55.867,+11.26%,40220.3,+12.98%,216502.0,"3 005,612"
06N,31-12-2005,50.215,-6.84%,35600.8,+5.32%,216414.0,"3 005,612"
06N,30-09-2005,53.901,+7.34%,33801.2,+19.30%,210609.0,"3 005,612"
11B,31-12-2021,554.0,+36.72%,69296.26,-1.49%,219513.0,"2 363,143"
11B,30-09-2021,405.2,-15.09%,70340.86,+6.47%,204691.0,"2 363,143"
11B,30-06-2021,477.2,-13.55%,66067.21,+13.75%,201184.0,"2 363,143"
11B,31-03-2021,552.0,+16.46%,58081.5,+1.85%,192480.0,"2 358,895"
